"研究課題名","研究課題名 (英文)","研究課題/領域番号","研究期間 (年度)","研究代表者","研究分担者","連携研究者","研究協力者","特別研究員","外国人特別研究員","受入研究者","キーワード","研究分野","審査区分","研究種目","研究機関","応募区分","総配分額","総配分額 (直接経費)","総配分額 (間接経費)","各年度配分額","各年度配分額 (直接経費)","各年度配分額 (間接経費)","現在までの達成度 (区分コード)","現在までの達成度 (区分)","理由","研究開始時の研究の概要","研究概要","研究概要 (英文)","研究成果の概要","研究成果の概要 (英文)","研究実績の概要","現在までの達成度 (段落)","今後の研究の推進方策","次年度の研究費の使用計画","次年度使用額が生じた理由","次年度使用額の使用計画","自由記述の分野","評価記号","備考","国際共同研究","学会・シンポジウム開催","雑誌論文","雑誌論文 (国際共著)","雑誌論文 (査読あり)","雑誌論文 (オープンアクセス)","学会発表","学会発表 (国際学会)","学会発表 (招待講演)","図書","プレス/新聞発表","","産業財産権","産業財産権 (外国)","文献書誌"
"エントロピーを用いた有理曲面上の自己同型写像の解析","Analysis of automorphisms on rational surfaces based on entorpy","16K17617","2016-04-01 – 2020-03-31","上原 崇人 岡山大学, 自然科学研究科, 准教授 (40613261)","","","","","","","有理曲面 / K3曲面 / 自己同型写像 / エントロピー / K３曲面 / 正則菅状近傍 / 力学系 / 変形理論 / 複素多様体 / 複素力学系","解析学基礎 / 数学 / 数物系科学 / 理工系","","若手研究(B)","岡山大学(2018-2019) / 佐賀大学(2016-2017)","","4030000","3100000","930000","2016:1170000 2017:1170000 2018:1040000 2019:650000","2016:900000 2017:900000 2018:800000 2019:500000","2016:270000 2017:270000 2018:240000 2019:150000","","","","","","","本研究期間における重要な成果は, 有理曲面を用いてK3曲面の構成を行ったことである. 具体的には, 複素射影平面上で楕円曲線内の9点ブローアップで得られる2つの有理曲面を用意して, 適当な条件下で存在する正則な管状近傍をのりしろとして2つの有理曲面を貼り合わせることでK3曲面が構成されることを示した. 本構成によるK3曲面族は射影的ではないK3曲面を含む広いクラスの族となっており, K3曲面上の力学系の解析に向けた基盤を築いたと考えている.","We construct a family of K3 surfaces in terms of rational surfaces. More precisely, by using two rational surfaces obtained from the blowups of nine points on elliptic curves on projective spaces, we show that a family of K3 surfaces is given by patching two surfaces that are the complements of appropriate tubular neighborhoods of elliptic curves in the rational surfaces. The family contains non-projective K3 surfaces, which enables us to establish the basis for the study of dynamical systems on K3 surfaces.","","","","","","","","","","0","0","2","2","2","2","15","7","15","0","0","0","0","0","0"
"読み聞かせとワーキングメモリトレーニングによる小学生の英語の語彙知識発達について","Investigating the relative contributions of working memory training and interactive book reading to vocabulary development in primary school pupils","16K16877","2016-04-01 – 2019-03-31","林 裕子 佐賀大学, 教育学部, 准教授 (10649156)","","","","","","","ワーキングメモリトレーニング / ワーキングメモリ / 外国語教育 / 読み聞かせ / 小学校英語","外国語教育 / 言語学 / 人文学 / 人文社会系","","若手研究(B)","佐賀大学","","3380000","2600000","780000","2016:1690000 2017:1690000","2016:1300000 2017:1300000","2016:390000 2017:390000","","","","","","","本研究では、小学校４・５学年児童を対象に、読み聞かせ活動（Interactive Book Reading：IBR)とワーキングメモリトレーニング（WMT）を実施し、外国語の語彙力(英語力）向上への効果を検証した。約１ヶ月に亘り、外国語活動の授業時間にISTを実施した結果，英語力の有意な伸びは見られなかった。次に，5週に亘るWMTを実施した結果，WMT群の英語得点の方が統制群の得点より高い傾向が示された。本研究では，IST群に比べてWMT群の英語力の得点が有意に高い傾向が示されたが，統制群との有意差は見られなかったため，各介入の単独及び相乗効果については今後検証を進める必要がある。","The current two-part study investigated the relative contributions of five-week interactive storybook reading (IBR) and computerised working memory training (WMT) to foreign language vocabulary development in primary school pupils. In Part I, IBR was implemented with a cohort of Year 4 pupils (n=32). The results showed that the pupils' English ability, as measured by a listening test, did not increase significantly at posttest. In Part II, a Year 5 cohort of 91 pupils participated, of whom 35 pupils received five weeks of WMT. The remaining pupils completed pre- and post-training assessment alone. The results revealed that the WMT group's scores on the English ability test were higher than the control group's scores.  The effects of the single (WMT or IBR) or the dual intervention (WMT + IBR) have yet to be established, however, as the WMT group's scores, which were higher than the IBR group's scores, did not differ significantly from either the control group or the dual group.","","","","","","","","","","0","0","6","1","3","2","3","1","0","1","0","0","0","0","0"
"ポスト・インダストリアルのアトランティック・カナダ文学―リチャーズを中心に","Atlantic Canadian Literature in the Post-Industrial Age","16K16788","2016-04-01 – 2020-03-31","荒木 陽子 敬和学園大学, 人文学部, 准教授 (90511543)","","","","","","","カナダ文学 / アトランティック・カナダ / 産業空洞化 / 環境 / ポスト・インダストリアル / ポストインダストリアル / 地方の衰退 / エコクリティシズム / デイヴィッド・アダムズ・リチャーズ / 英語圏文学 / カナダ研究","英米・英語圏文学 / 文学 / 人文学 / 人文社会系","","若手研究(B)","敬和学園大学","","1170000","900000","270000","2016:130000 2017:520000 2018:520000","2016:100000 2017:400000 2018:400000","2016:30000 2017:120000 2018:120000","","","","","","","研究期間に行った国内外の研究発表やシンポジウム企画・講演、海外研究者・作家等（トニー・トレンブレー、アレクサンダー・マクラウド）の招聘イベントを通して、これまで日本に紹介されてこなかった産業空洞化以後の現代アトランティック・カナダ像を日本の研究者、および筆者の勤務校のある新潟県新発田市周辺の学生および住民に紹介し、当地を含む日本の周縁部でも重なる状況も多い、同地域への関心を高めることができた。研究全体の成果に関しては、エコクリティシズム研究学会よりサポートを得て現在単著書『カナダ沿海諸州の文学風景の変容――二つの世紀末と水辺、田園の向こう側へ』（仮題、英宝社より出版予定）を編集作業中である。","This project has successfully introduced new landscapes represented in the contemporary Atlantic Canadian Literature in the post-industrial age to Japanese scholars and readers. Beyond its gentle and rustic image based on the 19th century's Prince Edward Island popularized by L,M. Montgomery's Anne of Green Gables, the literature studied in this project captures the rough post-industrial images.  Often in the literature, the region's nature is damaged by its industrialization and the region is deserted after the de-industrialization. The outmigration of its younger generation is often observed.
My international conference presentations and local events with international guests in Shibata, a rural community in Niigata, in particular, allowed us to share the information and feelings among those who are familiar with the difficulties of deindustrialized rural communities beyond our political borders.","","","","","","","","","","0","1","7","0","4","4","8","3","1","1","0","0","0","0","0"
"軌道や速度が異なる飛来球に対する野球打者の認知プロセスと打撃動作の解析","Investigation into baseball hitting motion and perceptual skill for hitting various kinds of pitch","16K16546","2016-04-01 – 2019-03-31","樋口 貴俊 福岡工業大学, 社会環境学部, 准教授 (60726826)","","","伊坂 忠夫","","","","視認動作 / バーチャルリアリティ / 野球 / 運動技能 / トレーニング / バッティング","スポーツ科学 / 健康・スポーツ科学 / 複合領域 / 総合系","","若手研究(B)","福岡工業大学","","3900000","3000000","900000","2016:2730000 2017:1170000","2016:2100000 2017:900000","2016:630000 2017:270000","","","","","","","野球打者は対戦投手の様々な球種やコースの投球を見極め、高速度のバットスイングで正確にボールを捉えなければ高い打撃成功率を維持することはできない。本研究では様々な球種や球速の投球が投じられる課題中における視線とボール位置のズレ（距離）、バットスイング速度、打球位置、打撃動作の違いを検討した。その結果、異なる軌道や球速の投球に対しても、打者の視認動作パターンに違いが認められないことが明らかになった。これらの知見は、研究代表者らが執筆した査読付き論文および学会発表を通じて公開されており、今後、野球を始めとする打つスポーツにおけるパフォーマンス向上に寄与することが期待できる。","Successful baseball hitting requires accuracy in visual perception and bat swing, and bat swing speed. In this research, measurements of eye movement, ball-bat contact location, and hitting motion of participants, who were experienced baseball hitters, were collected. We found stable eye tracking motion pattern regardless of various kinds of pitches. Findings in this research are expected to contribute for improvement of hitting performance in various kinds of sports.","","","","","","","","","","0","0","7","2","6","4","12","2","0","0","0","0","0","0","0"
"リンおよびマンガンの代替資源獲得を実現する製鋼スラグのマルチ・リソース化","Multi-resourceization of steelmaking slag for achieving alternative resources of phosphorus and manganese","16K16213","2016-04-01 – 2018-03-31","久保 裕也 福岡工業大学, 工学部, 准教授 (90604918)","","","","","","","製鋼スラグ / 選択粉砕 / 磁気分離 / リン / マンガン / 電気パルス粉砕 / 耐火物 / 資源化 / 金属生産工学 / 廃棄物再資源化 / 資源開発工学 / 反応・分離工学 / 環境技術","環境材料・リサイクル / 環境保全学 / 環境学 / 総合系","","若手研究(B)","福岡工業大学","","4160000","3200000","960000","2016:2210000 2017:1950000","2016:1700000 2017:1500000","2016:510000 2017:450000","","","","","","","鉄鋼産業の副産物である製鋼スラグには、リン、マンガン、金属鉄の細粒が豊富に含まれている。本研究では、製鋼スラグからこれらの成分を様々な資源（マルチ・リソース）として回収すると共に、スラグ排出量の大幅な削減を実現する高度資源化プロセスの開発を目指した。電気パルス粉砕実験を行った結果、製鋼スラグを構成するリン濃縮相、鉄マンガン酸化物相、金属鉄の境界面で選択的に破壊が起こり、一度の粉砕重量が多いほど省エネルギーであった。高勾配磁気分離装置を用いて粉砕粒子の分離実験を行い、相互分離に適した条件を見出した。","Steelmaking slag, which is a by-product generated in steel industry, contains lots of phosphorus, manganese and fine metallic iron particles. In this research, we aimed to recover these components from steelmaking slag as various resources i.e. multi-resource and to develop a highly advanced resource recycling process that realizes a significant reduction of slag emissions. As a result of the electrical pulse disintegration experiments, destruction occurred selectively at the interface of the phosphorous concentrated phases, iron manganese oxide phases and fine metallic iron particles constituting the steelmaking slag, and the larger the pulverizing weight, the more energy saving was achieved. The separation experiments of pulverized particles were carried out using a high gradient magnetic separator, and conditions suitable for mutual separation were found.","","","","","","","","","","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"ユーザの視線情報を用いた対話型進化計算システムの開発","Developing of Interactive Evolutionary Computation with User Gaze Information","16K16141","2016-04-01 – 2019-03-31","竹之内 宏 福岡工業大学, 情報工学部, 助教 (50726734)","","","徳丸 正孝","","","","対話型進化計算 / 視線情報 / ユーザ評価 / カタログインタフェース / ファッションコーディネート / 感性情報学 / 視線計測 / ソフトコンピューティング","感性情報学 / 人間情報学 / 情報学 / 総合系","","若手研究(B)","福岡工業大学","","4030000","3100000","930000","2016:2730000 2017:650000 2018:650000","2016:2100000 2017:500000 2018:500000","2016:630000 2017:150000 2018:150000","","","","","","","本研究では，単独及び複数ユーザの視線情報を用いて解候補を評価できる対話型進化計算システムの開発及びその有効性を検証している．3年間の研究成果より，(1)従来のユーザの手動による解候補評価よりも視線情報による解候補評価の方が，ユーザの評価負担が少ないこと，(2)複数ユーザを対象とした場合に，満足のいく解候補生成及びユーザの評価負担軽減に有効な対話型進化計算システムを構築できることが示された．","We developed interactive evolutionary computation with a single user or multiple users gaze information for evaluating candidate solutions and studied its effectiveness. From various achievements, we demonstrated that 1) the proposed system can reduce the evaluation loads of users compared with the conventional method using manually evaluation method and 2) can generate candidate solutions that many users satisfy even if when using multiple persons.","","","","","","","","","","0","0","2","0","2","2","14","6","0","0","0","3","0","0","0"
"編集ベースの類似検索手法および検索要求推定モデルの構築","Develepment of estimation model for search-request and edit-based similarity search","16K16137","2016-04-01 – 2019-03-31","石橋 賢 熊本県立大学, 総合管理学部, 准教授 (70749118)","","","","","","","類似検索 / ユーザインターフェース / フォント / 形状 / 印象 / リボン / テクスチャ / 進化計算 / 編集ツール / テクスチャ検索 / 印象調査 / ペインティングツール / 可視化 / 編集ベース / スケッチベース / 感性情報学 / 検索 / 推定モデル / 編集","感性情報学 / 人間情報学 / 情報学 / 総合系","","若手研究(B)","熊本県立大学","","3640000","2800000","840000","2016:1430000 2017:1300000 2018:910000","2016:1100000 2017:1000000 2018:700000","2016:330000 2017:300000 2018:210000","","","","","","","これまでのインタラクティブな検索手法として、スケッチ入力によるものがある。しかしながら、絵を描く技能や具体的なイメージがないと、検索効率が下がってしまう問題があった。本研究では、その点を解決すべく、新たなに形状を変化させる編集ツールを使った類似検索を提案する。提案する手法は、求めるコンテンツが抽象的な場合でも簡単に検索できることが実証された。また、本研究において形状と心象の関係を探り、立体形状に抱く心象に関する新たな知見が得られた。","The sketch-based search method is a conventional interactive search method. However, the disadvantages that are required users' drawing skills and precise goals on their mind decrease the effectiveness of the search performance. Thus, this study proposes a novel similarity search method with an editorial deformation tool. The proposed method enables users to obtain their target content even though they do not have a concrete idea in their mind. In addition, this study clarified a relationship between 3D shapes and their mental pictures.","","","","","","","","","","0","0","1","0","1","1","9","4","1","0","0","0","0","0","0"
"冥王代の地球からエンケラドスまでの多様な熱水環境をハイパーフローリアクターで造る","Construction of Hyper Flow Reactor Simulated Various Hydrothermal Environments in the Hadean Earth and Saturn II Enceladus","16K13913","2016-04-01 – 2017-03-31","今井 栄一 長岡技術科学大学, 工学研究科, 助教 (30134977)","","小林 憲正 横浜国立大学, 大学院工学研究院, 教授 (20183808)
三田 肇 福岡工業大学, 工学部, 教授 (00282301)
北台 紀夫 東京工業大学, 地球生命研究所, 研究員 (80625723)","松野 孝一郎","","","","冥王代の地球 / 海底熱水噴出孔 / 化学進化過程 / 生命の起源 / フローリアクター / 非平衡開放系 / 冥王代地球 / 陸上温泉 / エンケラドス / 地球化学 / 化学進化","地球宇宙化学 / 地球惑星科学 / 数物系科学 / 理工系","","挑戦的萌芽研究","長岡技術科学大学","","3510000","2700000","810000","2016:3510000","2016:2700000","2016:810000","","","","","","","冥王代の地球で生命誕生に至る化学進化過程の検証実験のために多様な熱水環境を模擬できるハイパーフローリアクターを設計・製作した．ハイパーフローリアクターは高温チャンバーと低温チャンバーで構成され，非平衡開放系で400℃，30MPaの高温高圧環境を実現した．海底熱水噴出孔から陸上温泉までのさまざまな熱水環境を模擬できる性能を有することを確認した．熱水の温度と高温滞在時間がアミノ酸の重合反応に対して支配的であることが判明した．","I have proposed a designed hyper flow reactor intended for simulating  various hydrothermal environments for experimental verification of the chemical evolution process leading to the origin of life in the Hadean Earth. The hyper flow reactor consists of a high temperature chamber and a low temerature chamber, was realized high temperature and high pressure environment of 400 degree and 30 MPa in a non-equilibrium open system. It had been confirmed that it has the ability to simulate various hydrothermal environments from submarine hydrothermal vents to onshore hot springs. It was found that the temperature of hot water and the high temperature residence time are dominant the polymerization reaction of amino acids.","","","","","","","","","","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"レーザー駆動爆発的ガンマ線によるレーザー核物理の展開","Perspective for laser nuclear physics using explosive laser-devein gamma-rays","16K13728","2016-04-01 – 2018-03-31","早川 岳人 国立研究開発法人量子科学技術研究開発機構, 高崎量子応用研究所 東海量子ビーム応用研究センター, 上席研究員(定常) (70343944)","中村 龍史 福岡工業大学, 情報工学部, 教授 (40318796)","神門 正城 量子科学技術研究開発機構, 関西光科学研究所, 上席研究員 (00354746)
小瀧 秀行 量子科学技術研究開発機構, 関西光科学研究所, 上席研究員 (60354974)
林 由紀雄 量子科学技術研究開発機構, 関西光科学研究所, 主幹研究員 (20360430)
静間 俊行 量子科学技術研究開発機構, 関西光科学研究所, 上席研究員 (50282299)
西内 満美子 量子科学技術研究開発機構, 関西光科学研究所, 上席研究員 (70391315)","","","","","レーザー核物理学 / 超新星爆発元素合成 / 放射化カウンタ / レーザー駆動ガンマ線 / ガンマ線パルス / レーザー宇宙核物理 / ガンマ過程","量子ビーム科学 / 量子ビーム科学 / 総合理工 / 理工系","","挑戦的萌芽研究","国立研究開発法人量子科学技術研究開発機構","","3380000","2600000","780000","2016:2470000 2017:910000","2016:1900000 2017:700000","2016:570000 2017:210000","","","","","","","我々は高ピーク出力レーザーによって生成されたプラズマからのγ線パルスを用いた原子核実験を研究した。これらのγ線パルスは極短、非常に高い強度、連続エネルギーといった優れた特徴を有する。これらは特徴は、新星や超新星爆発などの爆発的元素合成過程の研究に適している。我々は高出力レーザーを用いたγ線パルスの生成方法及び、天体環境下における核反応を模擬する実験手法を検討した。","We study nuclear experiments using gamma-ray pulses provided from high field plasma generated by high peak power laser.　These gamma-ray pulses have excellent features of extremely short pulse, highly intense and continuous energy distribution. These features are suitable for the study of explosive nucleosyntheses in novae and supernovae. We discuss how to generate the suitable gamma-ray pulses using high power laser and experimental methods to simulate nuclear reactions in stellar environments.","","","","","","","","","","0","0","3","0","3","1","3","3","1","0","0","0","0","0","0"
"英米文学における「リスク」言説の形成と変容―文学、数学、政治学、言語学による考察","The Discourse of Risk in British and American Literature: From the Perspectives of Literature, Mathematics, Political Science, and Linguistics","16K13200","2016-04-01 – 2019-03-31","下條 恵子 九州大学, 言語文化研究院, 准教授 (30510713)","渡邉 智明 福岡工業大学, 社会環境学部, 准教授 (00404088)
内田 諭 九州大学, 言語文化研究院, 准教授 (20589254)
斎藤 新悟 九州大学, 基幹教育院, 准教授 (40515194)
谷口 説男 九州大学, 基幹教育院, 教授 (70155208)","","","","","","英米文学 / 数学 / 政治学 / 言語学 / 文学 / 国際政治 / 異分野融合型研究 / コーパス言語学 / 文学テクストの数理的分析 / 文理融合型研究 / 英語圏文学 / 数理学","英米・英語圏文学 / 文学 / 人文学 / 人文社会系","","挑戦的萌芽研究","九州大学","","2860000","2200000","660000","2016:1040000 2017:1040000 2018:780000","2016:800000 2017:800000 2018:600000","2016:240000 2017:240000 2018:180000","","","","","","","3年間で複数の研究プロジェクトを実施したが、中でも学際性を維持しながらその成果を明確にできたのは以下の2点である：1) 経済的なリスク言説に関して、20世紀アメリカ小説を題材にWord2vecを用いて経済関連語彙の分析を行った結果、”money”という語が持つコンテクストの歴史的変容が明らかとなった。2) 第二次大戦以降の戦争小説を複数取り上げた研究では、自意識的とされるポストモダン的技巧の一つを定量化した上で、その分布を考察することによって、作者や語り手と物語の位置関係についての作品間の差異を数的に示すことができた。","We have attempted and conducted several projects, and the following ones obtained concrete results while exploring the possibility of interdisciplinary research―1) The context of economy-related vocabulary in the twentieth century U.S. novels: Using a neural network program called word2vec, we examined some words in terms of economy. This examination clarified a significant shift in context of the word “money.” 2) The distributive analysis of a postmodern technique in war literature: Self-referentiality and inter-textuality in fiction are well-known characteristic features of postmodern literature, and they often become indicators of positional and psychological relationships between the authors/narrators and their narratives. In order to expose the difference in such relationships among some war novels, we quantified the frequencies of those techniques in those novels and analyze the distributions of them.","","","","","","","","","","0","0","1","0","0","0","4","2","0","0","0","0","0","0","0"
"飲酒運転撲滅のための光学的血中アルコール濃度計測法の実用化に向けた挑戦的開発研究","Research and development of measuring blood alcohol concentration using photo-plethysmography for elimination of drunk driving","16K12884","2016-04-01 – 2019-03-31","山越 健弘 福岡工業大学, 情報工学部, 准教授 (70444205)","李 知炯 福岡工業大学, 情報工学部, 助教 (10735583)
松村 健太 富山大学, 大学院医学薬学研究部(医学), 特命助教 (30510383)","","","","","","光電容積脈波 / 飲酒負荷実験 / 血中アルコール濃度 / アルコール固有の吸収波長 / S/N比 / 生体光計測 / 多波長同時計測 / 飲酒運転撲滅","生体医工学・生体材料学 / 人間医工学 / 複合領域 / 総合系","","挑戦的萌芽研究","福岡工業大学","","3380000","2600000","780000","2016:1040000 2017:1040000 2018:1300000","2016:800000 2017:800000 2018:1000000","2016:240000 2017:240000 2018:300000","","","","","","","諸外国では飲酒運転防止装置の実用化が進み，呼気ガス式手法が一般的になってきたが，様々な問題点がある．そこで，光電容積脈波を利用し，血中成分の吸光特性から指尖部の入射光に対して散乱された光を検出する方法に着目した．しかし，アルコール固有の吸収帯域は水への吸収度が高い近赤外長波長帯域の905 nm，1185 nm，および1690 nmに存在し，人間の身体のほとんどが水分であり，検出される光が極めて微弱で，動作や外部環境に敏感でノイズが多く，これを如何に低減できるかの実験検討をまず行い，次いで人を対象とした飲酒負荷実験を行った結果，光電容積脈波にて血中アルコール濃度が予測可能であることが示唆された。","Current, alcohol ignition interlock devices are being installed in vehicles both in Japan and other developed nations. These are generally based on the breathanalyzer principle. However, there are practical problems. To overcome these, this study focuses on the use of photo-plethysmogram (PPG) to measure blood alcohol concentration.
Recently, the use of PPG as a non-invasive method of measuring the concentration of substances such as glucose and alcohol in blood has been investigated. However, these measurements are performed in the near-infrared region, where absorption due to water is strong. Since the human body contains mostly water, this results in very weak signals. Thus we have tried raising signal-to-noise ratio of PPG using newly developed integrating sphere method, and investigated the effect of external electromagnetic waves. Finally, periodic optical measurements using the newly developed device were made simultaneously with collection breathanalyzer.","","","","","","","","","","0","0","2","0","2","1","9","5","0","1","0","1","0","0","0"
"感性データを用いた確率システムモデリングに関する研究","On Stochastic System Modeling for Vague Random Data","16K06433","2016-04-01 – 2019-03-31","福田 得夫 追手門学院大学, 経営学部, 教授 (60201745)","","","","","","","曖昧不規則データ / ファジィランダム集合 / 曖昧性 / 不規則性 / 感性データ","制御・システム工学 / 電気電子工学 / 工学 / 理工系","","基盤研究(C)","追手門学院大学","一般","2340000","1800000","540000","2016:780000 2017:650000 2018:910000","2016:600000 2017:500000 2018:700000","2016:180000 2017:150000 2018:210000","","","","","","","人の感性に基づく曖昧不規則データは、個人毎の揺れを生じる。この揺れを確率現象とみなせば、感性の揺れによる不規則性と、観測対象自体のそれの二重の不規則性を有する曖昧不規データ」となる。本研究では、この様な曖昧不規則データをファジィランダム集合として数学モデル化した。先ず、揺れと曖昧性を伴って識別されるその対象現象自体は確定的である場合の数学的モデルを２次元の場合に限定して、その期待値の具体的な推定法と漸近的性質を数値的に検討した。その後、より一般的に、レベル集合を凸多角形とした場合の結果を、さらには、観測対象自体が不規則に変動する場合に拡張して、その具体的な推定法と漸近的性質を数値的に検討した。","In this research, the author investigates numerically a class of two-dimensional fuzzy random sets (abbreviated as FRSs), which is one case of those proposed by the author as models of vague capricious perceptions of crisp phenomena.
First, the basic results concerned with two-dimensional FRSs as vague capricious perceptions of crisp phenomena are discuseed. Expectations of two-dimensional FRSs, their estimators, and distances between expectations and their estimators are also discussed. Finally, extending FRSs to vague capricious perceptions of crisp random phenomena, the estimates for expectations and their estimation errors are also numerically examined by simulation studies.","","","","","","","","","","0","0","4","0","3","3","3","3","0","0","0","0","0","0","0"
"量子ドットデバイスを用いた熱アシスト磁気記録用ナノ光ヘッドの研究","Research on nano-optical head using a quantum dot device for heat-assisted magnetic recording","16K06328","2016-10-21 – 2019-03-31","片山 龍一 福岡工業大学, 工学部, 教授 (30610521)","","","杉浦 聡","","","","熱アシスト磁気記録 / 量子ドット / 近接場光 / 磁気記録","電子デバイス・電子機器 / 電気電子工学 / 工学 / 理工系","","基盤研究(C)","福岡工業大学","一般","4940000","3800000","1140000","2016:3120000 2017:1430000 2018:390000","2016:2400000 2017:1100000 2018:300000","2016:720000 2017:330000 2018:90000","","","","","","","ハードディスク装置の記録密度向上に不可欠な熱アシスト磁気記録には熱源となる近接場光を発生するナノ光ヘッドが必要であるが、光の利用効率が低いことが課題である。本研究の目的は、量子ドットを含むリングレーザーとナノ光アンテナから成る新規な構成により光の利用効率を大幅に高めたナノ光ヘッドを実証することである。本研究では、提案するナノ光ヘッドについて電磁界解析のシミュレーションを行い、高い近接場光の強度を得るための最適な構成に関する設計指針を得た。また、リングレーザーの発振とその光がナノ光アンテナ先端へ到達することを確認し、ナノ光ヘッドの基本機能を実証した。","In heat-assisted magnetic recording, which is indispensable for increasing the recording density of hard disk drives, a nano-optical head to generate a near-field light as a heat source is necessary, but there is a problem that the light utilization efficiency is low. The objective of this research is to demonstrate a nano-optical head in which the light utilization efficiency is significantly improved with a novel structure, which consists of a ring laser containing quantum dots and a nano-optical antenna. In this research, a simulation of electromagnetic field analysis for the proposed nano-optical head was conducted, and design guidelines regarding the optimum structure for obtaining high near-field light intensity were obtained. Moreover, the oscillation of the ring laser and the delivery of the light to the tip of the nano-optical antenna were confirmed, and the basic function of the nano-optical head was demonstrated.","","","","","","","","","","1","0","1","0","1","1","3","3","0","0","0","0","0","0","0"
"新幹線車両用横コロイダルダンパに関する研究","Investigations on a Colloidal Damper Destined to the Carbody Horizontal Suspension of a Bullet Train","16K06059","2016-04-01 – 2019-03-31","数仲 馬恋典 福岡工業大学, 工学部, 教授 (20412611)","","","北浦 淳也
木下 亮一
宮村 晶夫
小島 諒
落合 徹
川口 和輝
土井 健生
栗林 佑季
大村 悠也
武田 幸祐","","","","ダンピング / 横懸架装置 / 鉄道・新幹線車両 / 乗心地評価 / 動的蛇行動 / 疑似蛇行動 / 直線・曲線レール / 車軸の安定性 / 車軸 / 鉄道車両 / 新幹線車両 / ダブル曲線レール / 円錐踏面車輪 / 新幹線 / 乗心地","設計工学・機械機能要素・トライボロジー / 機械工学 / 工学 / 理工系","","基盤研究(C)","福岡工業大学","一般","4810000","3700000","1110000","2016:1950000 2017:1300000 2018:1560000","2016:1500000 2017:1000000 2018:1200000","2016:450000 2017:300000 2018:360000","","","","","","","鉄道車両模型を再設計・製作し、台車用ダンパと車体間ダンパを装着した。室内の直線・曲線レールで走行実験を行い、列車の運転手は振動測定装置を操作した。曲線レールにより車両の疑似蛇行動を発生させ、レールの曲率半径とダンパの変位との関係を明確にした。蛇行動の固有振動数と減衰比の定式化かつ一般化を行い、車速、クリープ係数比、円錐台車輪の踏面勾配、車軸の質量と密度、ならびに車輪接触間距離とヨー慣性直径との比が、減衰比に及ぼす影響を明らかにした。新幹線は臨界走行速度を越えると、特性方程式の根が本質的に変わるが、蛇行動の減衰比に影響がなかった。速度上昇やクリープ係数比の低下につれて車軸の不安定性が高くなった。","Pseudo-hunting was produced by employing a reduced-scale railway vehicle running on curved rails. Two redesigned wagons, to include seats for the operator, are equipped with horizontal dampers, and a connecting yaw damper. Relationship between the rails curvature and the damper stroke was clarified. Negative damping related to the hunting motion of the wheel axle, was explained by a generalized dynamic model. Influence of the travelling speed, wheel conicity, mass and density of the wheel axle, creep ratio, and the ratio of the track span to the yawing diameter, on the damping ratio as well as on the damped natural frequency, is illustrated. Roots nature of the characteristic equation is discussed, relative to the critical speed of the bullet train. Although the roots nature has no influence on the damping ratio, the degree of instability severely increases at augmentation of the train speed, and at reduction of the creep ratio.","","","","","","","","","","0","0","13","0","13","13","25","11","1","0","0","10","0","0","0"
"油膜内部の放電可視化技術を用いた軸受電食の原理解明","Principle elucidation of electrical pitting using visualization technique within lubricating oil film","16K06058","2016-04-01 – 2019-03-31","砂原 賢治 福岡工業大学, 工学部, 准教授 (80757104)","松田 健次 九州工業大学, 大学院工学研究院, 教授 (40229480)
西川 宏志 九州工業大学, 大学院工学研究院, 助教 (40208161)","","","","","","軸受 / 電食 / 放電 / 油膜 / チューリングパターン / 洗濯板 / 可視化","設計工学・機械機能要素・トライボロジー / 機械工学 / 工学 / 理工系","","基盤研究(C)","福岡工業大学","一般","4810000","3700000","1110000","2016:2470000 2017:1300000 2018:1040000","2016:1900000 2017:1000000 2018:800000","2016:570000 2017:300000 2018:240000","","","","","","","最も重要な成果は下記2点である。軸受電食の原理の完全解明には至っていないが、今後さらに調べ、完全解明を目指す。
(1)油膜で生じている放電現象：油膜内部で生じる放電は白い点（白点）として観察される発光時だけでなく、発光後に生じる黒い点（黒点）に変化して電流を流し続け、軸受に電食の損傷を与えていることを明らかにした。(2)洗濯板状電食痕のピッチ：電食痕のピッチがヘルツ楕円短径2bの2倍になることを確認し、チューリングパターンをヒントに洗濯板状電食痕のピッチ決定ルールの仮説を提案した。","The most important achievements are the following two points.  Although the principle of the electrical pitting has not been fully elucidated, we will investigated further and aim for complete elucidated.
(1) Discharge phenomenon occurring within lubricating oil film: It was clarified that the bearing could be damaged by flowing the current not only at the time of light emission observed as a white point but also after changing from the white point to a black point. (2) The pitch of washboard/Fluting (W/F) pattern caused by electrical pitting: We confirmed that the pitch of the W/F pattern is twice the minor axis, 2b, of the Hertzian contact ellipse, and proposed that the rule for determining the pitch of W/F pattern using the analogy of the Turing pattern theory.","","","","","","","","","","0","1","0","0","0","0","6","2","0","0","0","0","0","0","0"
